0.0 1:18.9433287355	 2:1.52145821962	 3:0.698731069189	 
0.0 1:18.9362178002	 2:1.51234115589	 3:0.871256582658	 
0.0 1:18.9347214651	 2:1.36266749497	 3:0.970238647985	 
0.0 1:18.9330949784	 2:1.2146256281	 3:1.07161545515	 
0.0 1:18.9313819318	 2:1.06766901782	 3:1.17458493225	 
0.0 1:18.9296688852	 2:0.920712407536	 3:1.27755440935	 
0.0 1:18.9279558386	 2:0.773755797251	 3:1.38052388644	 
0.0 1:18.9296920587	 2:0.600391267422	 3:1.41288551159	 
0.0 1:18.9320923264	 2:0.42194272476	 3:1.4316538196	 
0.0 1:18.9344925941	 2:0.243494182098	 3:1.45042212761	 
0.0 1:18.9368928618	 2:0.0650456394359	 3:1.46919043562	 
0.0 1:18.9392931295	 2:-0.113402903227	 3:1.48795874363	 
0.0 1:18.9416933973	 2:-0.291851445888	 3:1.50672705164	 
0.0 1:18.9471742531	 2:-0.459688934996	 3:1.4479283641	 
0.0 1:18.9529286783	 2:-0.626584117201	 3:1.38224139586	 
0.0 1:18.9586831036	 2:-0.793479299406	 3:1.31655442763	 
0.0 1:18.9644375288	 2:-0.960374481615	 3:1.25086745939	 
0.0 1:18.9713392667	 2:-1.07824284155	 3:1.13717113114	 
0.0 1:18.9795404715	 2:-1.14058254718	 3:0.969098544466	 
0.0 1:18.9877416763	 2:-1.20292225282	 3:0.801025957794	 
0.0 1:18.9959428811	 2:-1.26526195844	 3:0.632953371122	 
0.0 1:19.0038171518	 2:-1.28679359716	 3:0.455324201953	 
0.0 1:19.0116683167	 2:-1.30544115906	 3:0.277019629116	 
0.0 1:19.0195194815	 2:-1.32408872096	 3:0.0987150562804	 
0.0 1:19.0266989001	 2:-1.3106356963	 3:-0.0772740754331	 
0.0 1:19.0332318989	 2:-1.26629235513	 3:-0.251035063774	 
0.0 1:19.0397648977	 2:-1.22194901395	 3:-0.424796052115	 
0.0 1:19.0455379858	 2:-1.15721201953	 3:-0.589184402966	 
0.0 1:19.0498733626	 2:-1.05389130611	 3:-0.735840216808	 
0.0 1:19.0542087395	 2:-0.950570592681	 3:-0.882496030649	 
0.0 1:19.058485063	 2:-0.846451136933	 3:-1.02809003838	 
0.0 1:19.0579163628	 2:-0.676798944015	 3:-1.08656826567	 
0.0 1:19.0573476626	 2:-0.507146751097	 3:-1.14504649296	 
0.0 1:19.0540976383	 2:-0.32786887058	 3:-1.1440119755	 
0.0 1:21.0462292212	 2:-0.622358050326	 3:-1.26778307697	 
0.0 1:21.0341130389	 2:-0.483656414932	 3:-1.11626988033	 
0.0 1:21.0219968566	 2:-0.344954779536	 3:-0.964756683694	 
0.0 1:21.0098806743	 2:-0.206253144141	 3:-0.813243487055	 
0.0 1:21.0017694912	 2:-0.10322916567	 3:-0.636507266909	 
0.0 1:20.9945440709	 2:-0.00809581051319	 3:-0.454192614925	 
0.0 1:20.9748621176	 2:0.188319792595	 3:-0.422034276712	 
0.0 1:20.9542956013	 2:0.391927647673	 3:-0.400538834172	 
0.0 1:20.933729085	 2:0.59553550275	 3:-0.379043391633	 
0.0 1:20.9127759141	 2:0.796517659593	 3:-0.40492993307	 
0.0 1:20.8916926955	 2:0.996198807098	 3:-0.449847200425	 
0.0 1:20.8706538646	 2:1.19484339551	 3:-0.499232313335	 
0.0 1:20.8574064251	 2:1.34278847682	 3:-0.361019902164	 
0.0 1:20.8444010829	 2:1.48915820247	 3:-0.216978384618	 
0.0 1:20.8313957407	 2:1.63552792813	 3:-0.0729368670699	 
0.0 1:20.8304176476	 2:1.67226908482	 3:0.128439642461	 
0.0 1:20.8298285834	 2:1.70542520894	 3:0.331381704847	 
0.0 1:20.8407485801	 2:1.62435827751	 3:0.520194047109	 
0.0 1:20.8516685769	 2:1.54329134609	 3:0.70900638937	 
0.0 1:20.8625885736	 2:1.46222441465	 3:0.897818731632	 
0.0 1:20.8735085703	 2:1.38115748322	 3:1.08663107389	 
0.0 1:20.8869883522	 2:1.27296749193	 3:1.25957842954	 
0.0 1:20.9020911485	 2:1.1460147583	 3:1.41087441083	 
0.0 1:20.9209606083	 2:0.952697883965	 3:1.34295001262	 
0.0 1:20.9394385078	 2:0.762426341035	 3:1.26928086924	 
0.0 1:20.9545077791	 2:0.598665149862	 3:1.1456023197	 
0.0 1:20.9706291514	 2:0.429742249128	 3:1.05972834863	 
0.0 1:20.9912075324	 2:0.238952829947	 3:1.13400568069	 
0.0 1:21.0117859133	 2:0.0481634107642	 3:1.20828301273	 
0.0 1:21.0322095987	 2:-0.140595156645	 3:1.28641966761	 
0.0 1:21.0510984557	 2:-0.309204416321	 3:1.40284699654	 
0.0 1:21.0700376764	 2:-0.483886968351	 3:1.47794328675	 
0.0 1:21.0891451194	 2:-0.678855286235	 3:1.41498731059	 
0.0 1:21.1082525624	 2:-0.873823604118	 3:1.35203133444	 
0.0 1:21.1220014983	 2:-1.0237687494	 3:1.23524745955	 
0.0 1:21.1292269186	 2:-1.11890210455	 3:1.05293280756	 
0.0 1:21.136452339	 2:-1.21403545971	 3:0.870618155577	 
0.0 1:21.1421273492	 2:-1.29467221815	 3:0.683612152091	 
0.0 1:21.1422801957	 2:-1.32367581312	 3:0.479896756483	 
0.0 1:21.1424330422	 2:-1.35267940809	 3:0.276181360876	 
0.0 1:21.1425858887	 2:-1.38168300306	 3:0.0724659652694	 
0.0 1:21.1405758887	 2:-1.38970851121	 3:-0.132202673164	 
0.0 1:21.1367047707	 2:-1.37968248614	 3:-0.33769157203	 
0.0 1:21.1328336527	 2:-1.36965646105	 3:-0.543180470897	 
0.0 1:21.128976047	 2:-1.35976314974	 3:-0.748675661467	 
0.0 1:21.1252413378	 2:-1.3510768908	 3:-0.954228076053	 
0.0 1:21.1215066286	 2:-1.34239063185	 3:-1.15978049064	 
0.0 1:21.1066484334	 2:-1.21188462244	 3:-1.26709095871	 
0.0 1:21.0862540758	 2:-1.01342631985	 3:-1.27128569656	 
0.0 1:21.0664884212	 2:-0.81414738227	 3:-1.22397377181	 
0.0 1:23.1336099145	 2:-0.745562512193	 3:-1.15025672183	 
0.0 1:23.1412382626	 2:-0.547376483749	 3:-1.13187613574	 
0.0 1:23.143451802	 2:-0.362788504903	 3:-1.08217557224	 
0.0 1:23.1315028655	 2:-0.213766334735	 3:-0.950557354563	 
0.0 1:23.1187368813	 2:-0.0687903806166	 3:-0.814909519185	 
0.0 1:23.1037020608	 2:0.0649497521184	 3:-0.668071953899	 
0.0 1:23.0938828386	 2:0.220072878193	 3:-0.548509511906	 
0.0 1:23.0892392746	 2:0.39641525052	 3:-0.456013325257	 
0.0 1:23.1004129318	 2:0.578371400342	 3:-0.466913934896	 
0.0 1:23.1162818792	 2:0.770866172484	 3:-0.505410020764	 
0.0 1:23.1284572604	 2:0.969261062101	 3:-0.517243788462	 
0.0 1:23.1360856085	 2:1.16744709055	 3:-0.498863202369	 
0.0 1:23.1365640543	 2:1.35183730405	 3:-0.437674422577	 
0.0 1:23.1303900401	 2:1.52339152264	 3:-0.336655755291	 
0.0 1:23.1046257524	 2:1.55399969014	 3:-0.15435660654	 
0.0 1:23.0753308344	 2:1.55920604683	 3:0.0425912066847	 
0.0 1:23.0460359163	 2:1.56441240353	 3:0.239539019909	 
0.0 1:23.0167409982	 2:1.56961876023	 3:0.436486833134	 
0.0 1:22.9874039947	 2:1.57293954435	 3:0.633056667531	 
0.0 1:22.9562203377	 2:1.49352378851	 3:0.813041269011	 
0.0 1:22.9250366807	 2:1.41410803268	 3:0.993025870492	 
0.0 1:22.8938530237	 2:1.33469227684	 3:1.17301047198	 
0.0 1:22.871216485	 2:1.15882041044	 3:1.26238822647	 
0.0 1:22.8486975746	 2:0.981621083709	 3:1.3505190201	 
0.0 1:22.8261786642	 2:0.804421756962	 3:1.43864981372	 
0.0 1:22.8103070656	 2:0.611242622573	 3:1.47692462907	 
0.0 1:22.7959598277	 2:0.41439900087	 3:1.50376647828	 
0.0 1:22.7935074007	 2:0.227692676429	 3:1.45491754587	 
0.0 1:22.7958784462	 2:0.0450971340084	 3:1.37537519526	 
0.0 1:22.7888356911	 2:-0.140208173351	 3:1.35759105162	 
0.0 1:22.7698276407	 2:-0.32895769407	 3:1.41830391646	 
0.0 1:22.7508195903	 2:-0.517707214788	 3:1.47901678131	 
0.0 1:22.7318115399	 2:-0.706456735506	 3:1.53972964616	 
0.0 1:22.7192972104	 2:-0.903334818118	 3:1.55435066884	 
0.0 1:22.7083603643	 2:-1.10218752704	 3:1.55777485678	 
0.0 1:22.7214507944	 2:-1.20088991871	 3:1.43612128682	 
0.0 1:22.7482340968	 2:-1.24251777977	 3:1.24318732038	 
0.0 1:22.7750173993	 2:-1.28414564085	 3:1.05025335395	 
