0.0 1:2.52886137164	 2:1.23951021014	 3:1.17141602269	 
0.0 1:2.50027430767	 2:1.04081745827	 3:1.25323184287	 
0.0 1:2.47566189766	 2:0.8344880329	 3:1.2811089367	 
0.0 1:2.45805776292	 2:0.64190687683	 3:1.24672715	 
0.0 1:2.4452727858	 2:0.459161816092	 3:1.16999518765	 
0.0 1:2.43061277203	 2:0.261421874764	 3:1.09626066696	 
0.0 1:2.40955860115	 2:0.0802395619439	 3:1.11445598593	 
0.0 1:2.38279042017	 2:-0.0388744865734	 3:1.27186205104	 
0.0 1:2.35410081412	 2:-0.155589105904	 3:1.45378329117	 
0.0 1:2.32654593155	 2:-0.318391992329	 3:1.56730635074	 
0.0 1:2.30036868087	 2:-0.51593529469	 3:1.6233955602	 
0.0 1:2.27583245202	 2:-0.727019848863	 3:1.64467582448	 
0.0 1:2.25525748726	 2:-0.933526912652	 3:1.62691111944	 
0.0 1:2.24147223777	 2:-1.11809885725	 3:1.55922859861	 
0.0 1:2.23694178422	 2:-1.26491868878	 3:1.43298426185	 
0.0 1:2.24076936543	 2:-1.37242310533	 3:1.26015501491	 
0.0 1:2.25023901252	 2:-1.4467619656	 3:1.0638764415	 
0.0 1:2.26297665054	 2:-1.49373044289	 3:0.863865423209	 
0.0 1:2.2781969957	 2:-1.51722265767	 3:0.664257196923	 
0.0 1:2.29555320242	 2:-1.52060812139	 3:0.464887134219	 
0.0 1:2.31469843935	 2:-1.5072563284	 3:0.265590466864	 
0.0 1:2.33529114323	 2:-1.48044090342	 3:0.0662588724088	 
0.0 1:2.35726159458	 2:-1.43848837986	 3:-0.13030324225	 
0.0 1:2.38093778992	 2:-1.37248754114	 3:-0.317030055647	 
0.0 1:2.40653511215	 2:-1.27613087163	 3:-0.488731468082	 
0.0 1:2.4335915435	 2:-1.15804233347	 3:-0.650618628655	 
0.0 1:2.46134660569	 2:-1.02739956168	 3:-0.80521286359	 
0.0 1:2.48838056099	 2:-0.867687308696	 3:-0.916605249168	 
0.0 1:2.51438094126	 2:-0.67810695969	 3:-0.980316077514	 
