0.0 1:2.27214556591	 2:0.703176162531	 3:1.26267300502	 
0.0 1:2.252652636	 2:0.625986545659	 3:1.41772956978	 
0.0 1:2.23799190516	 2:0.515293344345	 3:1.55237473491	 
0.0 1:2.22824971717	 2:0.373514465858	 3:1.6652107425	 
0.0 1:2.22319556982	 2:0.206377910702	 3:1.75579695806	 
0.0 1:2.22259847956	 2:0.0196167082887	 3:1.82369420125	 
0.0 1:2.22622746285	 2:-0.181036111964	 3:1.86846329169	 
0.0 1:2.23385153612	 2:-0.389847520639	 3:1.88966504904	 
0.0 1:2.24523971581	 2:-0.601084488323	 3:1.88686029294	 
0.0 1:2.26016101838	 2:-0.809013985598	 3:1.85960984305	 
0.0 1:2.27838446026	 2:-1.00790298305	 3:1.80747451899	 
0.0 1:2.29967869729	 2:-1.19201519801	 3:1.73001640587	 
0.0 1:2.32372127855	 2:-1.35479245124	 3:1.62711728632	 
0.0 1:2.34997876489	 2:-1.48777318551	 3:1.49939931023	 
0.0 1:2.37788664181	 2:-1.58228521467	 3:1.34761754468	 
0.0 1:2.40677450163	 2:-1.63441619255	 3:1.17485581762	 
0.0 1:2.43578898131	 2:-1.64847751609	 3:0.988221439011	 
0.0 1:2.46405855392	 2:-1.62959703989	 3:0.795221172322	 
0.0 1:2.49071169253	 2:-1.58290261858	 3:0.603361781029	 
0.0 1:2.5148768702	 2:-1.5135221068	 3:0.420150028605	 
0.0 1:2.5358116815	 2:-1.42673820078	 3:0.252293706712	 
0.0 1:2.55435197879	 2:-1.3297262328	 3:0.0967347411802	 
0.0 1:2.57238975364	 2:-1.23092805011	 3:-0.0561200686714	 
0.0 1:2.59183638423	 2:-1.13880874826	 3:-0.215983882865	 
0.0 1:2.6145662408	 2:-1.06167624466	 3:-0.392379494031	 
0.0 1:2.64011480943	 2:-0.997904873654	 3:-0.582798561846	 
0.0 1:2.66432253028	 2:-0.93017556886	 3:-0.765725567248	 
0.0 1:2.68270369266	 2:-0.839784053723	 3:-0.917967283543	 
0.0 1:2.69086195381	 2:-0.708412204932	 3:-1.01678793086	 
0.0 1:2.68814693365	 2:-0.533927974362	 3:-1.05862615888	 
