0.0 1:2.775778362	 2:-0.413416883389	 3:1.67153126764	 
0.0 1:2.76495469861	 2:-0.608140225053	 3:1.68342982084	 
0.0 1:2.75639990791	 2:-0.80615486788	 3:1.6754722628	 
0.0 1:2.75192579667	 2:-0.99271595988	 3:1.63864073309	 
0.0 1:2.75338585391	 2:-1.15262574044	 3:1.56375465688	 
0.0 1:2.76236990223	 2:-1.27223576443	 3:1.44318057021	 
0.0 1:2.77811537103	 2:-1.3517203522	 3:1.28308810505	 
0.0 1:2.79862363597	 2:-1.39851692983	 3:1.09689966393	 
0.0 1:2.821885093	 2:-1.4201274409	 3:0.89810207503	 
0.0 1:2.84589013926	 2:-1.42405382693	 3:0.700182157432	 
0.0 1:2.86908134154	 2:-1.41704187518	 3:0.513225363825	 
0.0 1:2.89163519196	 2:-1.40293776421	 3:0.334273999349	 
0.0 1:2.91414374192	 2:-1.38489274113	 3:0.15724439796	 
0.0 1:2.93719904279	 2:-1.36605805308	 3:-0.0239471063833	 
0.0 1:2.96138132541	 2:-1.3494575446	 3:-0.215237334311	 
0.0 1:2.98623944115	 2:-1.32699878912	 3:-0.40975038651	 
0.0 1:3.00950427208	 2:-1.27099517564	 3:-0.578025920148	 
0.0 1:3.02898138836	 2:-1.15512799185	 3:-0.691752999643	 
0.0 1:3.04508318548	 2:-0.986822108798	 3:-0.757227746353	 
0.0 1:3.05972614036	 2:-0.7929717093	 3:-0.800713798755	 
0.0 1:3.07483500367	 2:-0.6006063329	 3:-0.848595756988	 
0.0 1:3.09109709805	 2:-0.424271518919	 3:-0.912221559806	 
0.0 1:3.10677462455	 2:-0.254046560713	 3:-0.973470173746	 
0.0 1:3.11985253328	 2:-0.0772700588037	 3:-1.01087373764	 
0.0 1:3.1289811785	 2:0.106911187261	 3:-1.01305558068	 
0.0 1:3.13526540107	 2:0.290142271621	 3:-0.992342477849	 
0.0 1:3.14092027854	 2:0.473139851634	 3:-0.966572896102	 
0.0 1:3.57286814812	 2:0.727219284461	 3:-0.887897291007	 
0.0 1:3.56025155485	 2:0.853326628432	 3:-0.761743707168	 
0.0 1:3.54680990684	 2:0.972159512895	 3:-0.625641848524	 
0.0 1:3.53263603763	 2:1.08172735776	 3:-0.480403667436	 
0.0 1:3.51782278076	 2:1.18003958294	 3:-0.326841116265	 
0.0 1:3.50246296978	 2:1.26510560833	 3:-0.165766147375	 
0.0 1:3.48664943824	 2:1.33493485384	 3:0.00200928687345	 
0.0 1:3.47047501967	 2:1.3875367394	 3:0.175673234118	 
0.0 1:3.45403254762	 2:1.4209206849	 3:0.354413741997	 
0.0 1:3.43741485564	 2:1.43309611025	 3:0.537418858149	 
0.0 1:3.42071477781	 2:1.42207243508	 3:0.723876624201	 
0.0 1:3.40426290436	 2:1.38573740332	 3:0.910351004655	 
0.0 1:3.38930350104	 2:1.32151117003	 3:1.08332187131	 
0.0 1:3.37730025912	 2:1.22670165969	 3:1.2268473236	 
0.0 1:3.36928814887	 2:1.10021373866	 3:1.32956643905	 
0.0 1:3.36476859097	 2:0.946664588201	 3:1.39650460797	 
0.0 1:3.36290024877	 2:0.771948125384	 3:1.43634965753	 
0.0 1:3.36284178565	 2:0.581958267293	 3:1.45778941494	 
0.0 1:3.36375186498	 2:0.382588931014	 3:1.46951170741	 
0.0 1:3.3647891501	 2:0.179734033629	 3:1.48020436213	 
0.0 1:3.36514865833	 2:-0.0208563989709	 3:1.49816768426	 
0.0 1:3.36475539278	 2:-0.216321672054	 3:1.52392054706	 
0.0 1:3.36420982659	 2:-0.406474644878	 3:1.55078151444	 
0.0 1:3.36413786309	 2:-0.591228830948	 3:1.57179807224	 
0.0 1:3.36516540557	 2:-0.770497743769	 3:1.58001770634	 
0.0 1:3.36791835733	 2:-0.944194896846	 3:1.56848790263	 
0.0 1:3.3730226217	 2:-1.11223380368	 3:1.53025614696	 
0.0 1:3.38110399101	 2:-1.2745252297	 3:1.45837085542	 
0.0 1:3.39240787044	 2:-1.42155976396	 3:1.34906913883	 
0.0 1:3.40598218753	 2:-1.51599260062	 3:1.20882542235	 
0.0 1:3.42105834626	 2:-1.54850989439	 3:1.04514637831	 
0.0 1:3.43716829493	 2:-1.53358010279	 3:0.864807365205	 
0.0 1:3.45385006927	 2:-1.48615338958	 3:0.674568928942	 
0.0 1:3.47064170504	 2:-1.42117991852	 3:0.481191615411	 
0.0 1:3.48708126481	 2:-1.35360884191	 3:0.291435562304	 
0.0 1:3.50282024227	 2:-1.29411164309	 3:0.110334513315	 
0.0 1:3.51788279874	 2:-1.23930591504	 3:-0.062749697495	 
0.0 1:3.53236951413	 2:-1.18292738308	 3:-0.229618308536	 
0.0 1:3.54638096834	 2:-1.11871177253	 3:-0.392072558216	 
0.0 1:3.56001716275	 2:-1.04039612627	 3:-0.551907123107	 
0.0 1:3.57301750425	 2:-0.942538699578	 3:-0.706826792337	 
0.0 1:3.58414589143	 2:-0.821919355487	 3:-0.843472072724	 
0.0 1:3.59203562056	 2:-0.67586200067	 3:-0.946975182601	 
0.0 1:3.59648608653	 2:-0.50781826892	 3:-1.01473311656	 
0.0 1:3.5987120231	 2:-0.328691406048	 3:-1.05902755087	 
0.0 1:3.59920609567	 2:-0.145874773839	 3:-1.08451446682	 
0.0 1:3.59770762017	 2:0.0369336139811	 3:-1.08789744972	 
0.0 1:3.59392751686	 2:0.2161750308	 3:-1.06558033875	 
0.0 1:3.58765549152	 2:0.388638766567	 3:-1.0148790133	 
0.0 1:3.57994509088	 2:0.556696833123	 3:-0.947739883494	 
0.0 1:4.0423560128	 2:0.859390789688	 3:-0.704578825345	 
0.0 1:4.04638319474	 2:1.01150513592	 3:-0.591094047711	 
0.0 1:4.04961404594	 2:1.15014434516	 3:-0.45748699856	 
