0.0 1:2.4289275516	 2:0.217008852651	 3:-1.00503151194	 
0.0 1:2.43308522822	 2:0.416491343482	 3:-1.03937093304	 
0.0 1:2.43638415602	 2:0.613646785251	 3:-1.08368151707	 
0.0 1:2.43850230985	 2:0.807602549877	 3:-1.1417023845	 
0.0 1:2.44062046368	 2:1.0015583145	 3:-1.19972325193	 
0.0 1:2.44549300687	 2:1.20031756752	 3:-1.2245944155	 
0.0 1:2.45241919096	 2:1.40265824601	 3:-1.2247495426	 
0.0 1:2.45934537505	 2:1.60499892451	 3:-1.22490466971	 
0.0 1:2.4740409608	 2:1.6504799963	 3:-1.05675413832	 
0.0 1:2.49026583057	 2:1.66508573172	 3:-0.855475296022	 
0.0 1:2.50649070033	 2:1.67969146713	 3:-0.65419645372	 
0.0 1:2.52237794564	 2:1.6844647268	 3:-0.452923587907	 
0.0 1:2.53755433499	 2:1.6685360688	 3:-0.251663305375	 
0.0 1:2.55273072434	 2:1.6526074108	 3:-0.0504030228421	 
0.0 1:2.5679071137	 2:1.6366787528	 3:0.15085725969	 
0.0 1:2.57798660041	 2:1.54322587721	 3:0.320901964426	 
0.0 1:2.58571080471	 2:1.41394900421	 3:0.476521927927	 
0.0 1:2.593435009	 2:1.28467213121	 3:0.632141891429	 
0.0 1:2.6011592133	 2:1.15539525821	 3:0.78776185493	 
0.0 1:2.60924541608	 2:1.02991514183	 3:0.946349112043	 
0.0 1:2.61778400567	 2:0.909179803839	 3:1.10864457381	 
0.0 1:2.62632259526	 2:0.788444465843	 3:1.27094003558	 
0.0 1:2.63077820437	 2:0.632952306366	 3:1.39622656744	 
0.0 1:2.63350994008	 2:0.462785484516	 3:1.50588757522	 
0.0 1:2.63624167578	 2:0.292618662666	 3:1.61554858299	 
0.0 1:2.62835805211	 2:0.0925862845319	 3:1.60243459974	 
0.0 1:2.6199841	 2:-0.108825597683	 3:1.58364958196	 
0.0 1:2.61161014789	 2:-0.310237479898	 3:1.56486456417	 
0.0 1:2.60244261354	 2:-0.508956952727	 3:1.53473932602	 
0.0 1:2.59031690475	 2:-0.69764014183	 3:1.462342036	 
0.0 1:2.57819119597	 2:-0.886323330933	 3:1.38994474599	 
0.0 1:2.56477946826	 2:-1.06271840997	 3:1.29569176903	 
0.0 1:2.54971304401	 2:-1.22330260728	 3:1.17331748782	 
0.0 1:2.53464661975	 2:-1.38388680458	 3:1.05094320662	 
0.0 1:2.51773781428	 2:-1.44511510848	 3:0.86137396298	 
0.0 1:2.50069861782	 2:-1.49931169027	 3:0.667049125219	 
0.0 1:2.48545482268	 2:-1.49232652219	 3:0.46885164678	 
0.0 1:2.4708918469	 2:-1.46214112561	 3:0.2691856561	 
0.0 1:2.45632887113	 2:-1.43195572903	 3:0.0695196654199	 
0.0 1:2.44176589535	 2:-1.40177033244	 3:-0.13014632526	 
0.0 1:2.42954332059	 2:-1.33422100614	 3:-0.316254003563	 
0.0 1:2.42283164973	 2:-1.21108916734	 3:-0.45621552429	 
0.0 1:2.43054300551	 2:-1.00902496651	 3:-0.446198538612	 
0.0 1:2.43840572272	 2:-0.807166797843	 3:-0.434153583597	 
0.0 1:2.44757709586	 2:-0.607089962879	 3:-0.404575005367	 
0.0 1:2.456748469	 2:-0.407013127915	 3:-0.374996427136	 
0.0 1:2.45820103077	 2:-0.246643154127	 3:-0.426795233898	 
0.0 1:2.44789007998	 2:-0.146786663293	 3:-0.602613639637	 
0.0 1:2.43710077251	 2:-0.0537082945176	 3:-0.781580169039	 
0.0 1:2.99207698601	 2:-0.112042496227	 3:-0.973043000059	 
0.0 1:2.98417029011	 2:0.076254730104	 3:-1.0429177507	 
0.0 1:2.97626359421	 2:0.264551956435	 3:-1.11279250135	 
0.0 1:2.96836767751	 2:0.451075632719	 3:-1.18712675705	 
0.0 1:2.96048197859	 2:0.635918129917	 3:-1.26568825554	 
0.0 1:2.95259627968	 2:0.820760627116	 3:-1.34424975402	 
0.0 1:2.94481071658	 2:1.01627563785	 3:-1.38271816491	 
0.0 1:2.93706205149	 2:1.21572325166	 3:-1.40641309257	 
0.0 1:2.93343193008	 2:1.34469534515	 3:-1.31081207643	 
0.0 1:2.93293419389	 2:1.42006682259	 3:-1.12447975312	 
0.0 1:2.93271129513	 2:1.48869804433	 3:-0.936304206221	 
0.0 1:2.93406485068	 2:1.51866748091	 3:-0.737556016746	 
0.0 1:2.93541840624	 2:1.5486369175	 3:-0.53880782727	 
0.0 1:2.93677196179	 2:1.57860635409	 3:-0.340059637794	 
0.0 1:2.93842573133	 2:1.59989292615	 3:-0.143262500096	 
0.0 1:2.94468320948	 2:1.48802987725	 3:0.0236157319129	 
0.0 1:2.95094068764	 2:1.37616682834	 3:0.190493963922	 
0.0 1:2.95719816579	 2:1.26430377944	 3:0.357372195931	 
0.0 1:2.96345564395	 2:1.15244073053	 3:0.52425042794	 
0.0 1:2.9710280207	 2:0.987780259761	 3:0.638239322752	 
0.0 1:2.97829653063	 2:0.835187134771	 3:0.764048656352	 
0.0 1:2.98446151523	 2:0.726493291472	 3:0.933011621098	 
0.0 1:2.99062649982	 2:0.617799448173	 3:1.10197458584	 
0.0 1:2.99679148441	 2:0.509105604874	 3:1.27093755059	 
0.0 1:3.00295646901	 2:0.400411761576	 3:1.43990051534	 
0.0 1:3.00976519146	 2:0.266322993537	 3:1.58433127573	 
0.0 1:3.01735562137	 2:0.101396514077	 3:1.69897194831	 
0.0 1:3.02494605128	 2:-0.0635299653831	 3:1.81361262089	 
0.0 1:3.03249564294	 2:-0.233314273071	 3:1.91038496009	 
0.0 1:3.03978889208	 2:-0.433591266106	 3:1.89499741189	 
0.0 1:3.04708214122	 2:-0.633868259141	 3:1.87960986369	 
0.0 1:3.05437539037	 2:-0.834145252176	 3:1.86422231548	 
0.0 1:3.06093680713	 2:-1.0213001526	 3:1.82943596391	 
0.0 1:3.06200554303	 2:-1.10996874845	 3:1.64905420215	 
0.0 1:3.06307427894	 2:-1.1986373443	 3:1.46867244039	 
0.0 1:3.06298036373	 2:-1.25898614608	 3:1.27991170893	 
0.0 1:3.06138484942	 2:-1.28275907636	 3:1.0803292844	 
0.0 1:3.05978933511	 2:-1.30653200664	 3:0.880746859868	 
0.0 1:3.0579249939	 2:-1.32326182302	 3:0.680713568514	 
0.0 1:3.05549928634	 2:-1.32528415542	 3:0.479738773636	 
0.0 1:3.05307357877	 2:-1.32730648782	 3:0.278763978757	 
0.0 1:3.04947549716	 2:-1.29717776441	 3:0.0801334644219	 
0.0 1:3.04344823167	 2:-1.17841541633	 3:-0.0475303604062	 
0.0 1:3.03554554865	 2:-0.991016640988	 3:-0.119780541462	 
0.0 1:3.02764286563	 2:-0.803617865644	 3:-0.192030722517	 
0.0 1:3.01974018261	 2:-0.616219090301	 3:-0.264280903573	 
0.0 1:3.01183749959	 2:-0.428820314957	 3:-0.336531084628	 
0.0 1:3.00425802657	 2:-0.263302843497	 3:-0.448516761778	 
0.0 1:2.99822622166	 2:-0.156054225714	 3:-0.611118636677	 
0.0 1:2.99295266158	 2:-0.0763724972431	 3:-0.795574197108	 
0.0 1:3.61586327033	 2:-0.640449742289	 3:-0.597115558155	 
0.0 1:3.595537333	 2:-0.450398866699	 3:-0.62377336462	 
0.0 1:3.57521139566	 2:-0.260347991108	 3:-0.650431171085	 
0.0 1:3.56880778427	 2:-0.127604904607	 3:-0.78207345309	 
0.0 1:3.56456619701	 2:-0.00376125229851	 3:-0.930018971465	 
0.0 1:3.56032460975	 2:0.12008240001	 3:-1.07796448984	 
0.0 1:3.54815387899	 2:0.278680283558	 3:-1.16969714074	 
0.0 1:3.52967145327	 2:0.464942959146	 3:-1.21668366336	 
